zone_name,segment,trench_match_keywords_or_bbox,lon_min,lon_max,lat_min,lat_max,ups_class,t_start_Ma,t_end_Ma,age_basis,citation_short,citation_doi_or_url,notes
Central_Andaman_Basin,Andaman,bbox; Andaman-Nicobar Trench; Central Andaman Basin spreading (highly oblique),90.0,96.0,5.0,15.0,E,4.0,0.0,Kamesh Raju/Curray 4 Ma spreading; Jha et al. 2021 revise to 5.9 Ma; used 4.0 (range 4-6),Kamesh Raju et al. 2004 EPSL; Curray 2005 JAES; Jha et al. 2021 Tectonophysics,https://doi.org/10.1016/j.epsl.2004.02.022; https://doi.org/10.1016/j.jseaes.2004.09.001; https://doi.org/10.1016/j.tecto.2021.229085,Kamesh Raju et al. 2004 / Curray 2005: continual spreading in the Central Andaman Basin from ~4 Ma. Jha et al. 2021 revise opening to chron C3An.1ny (5.894 Ma). Conflict: Morley & Alvey 2015 argue sedimentation is incompatible with continuous 4 Ma spreading (episodic or incipient); Curray 2015 reply defends spreading + episodic deposition. Earlier Curray et al. 1979 had ~11 Ma. Used 4-0 with 4-6 range. Spreading is highly oblique (leaky transform); SubMap geodetic UPS is SS not E — expected 0 Ma mismatch. FP: northern Sumatra if lat_min too low; kept lat_min=5.
Okinawa_Trough_phase1,Ryukyu,bbox; Ryukyu Trench; Okinawa Trough continental rifting (not MOR),122.0,133.0,22.0,32.0,E,10.0,6.0,Miki 1995 first phase 10-6 Ma; Sibuet et al. 1987 middle-late Miocene first rifting,Sibuet et al. 1987 JGR; Letouzey & Kimura 1986; Miki 1995,https://doi.org/10.1029/JB092iB13p14041; https://doi.org/10.1016/0025-3227(86)90080-5,"Continental back-arc rifting, not seafloor spreading (Arai et al. 2017: still rifting even in the south). Sibuet et al. 1987: first phase middle-late Miocene, ceased in Pliocene; second phase from ~2 Ma. Miki 1995: 10-6 Ma then ~1 Ma. Timing debated (Kimura 1996: 6-4 Ma). Used 10-6. Gap 6-2 Ma left unclassified (not forced to N). FP: Nankai/SW Japan excluded by lon_max=133."
Okinawa_Trough_phase2,Ryukyu,bbox; Ryukyu Trench; active Okinawa Trough rifting,122.0,133.0,22.0,32.0,E,2.0,0.0,second rifting phase from Plio-Pleistocene boundary ~2 Ma,Sibuet et al. 1987 JGR; Letouzey & Kimura 1986; Miki 1995,https://doi.org/10.1029/JB092iB13p14041,Sibuet et al. 1987: second rifting phase started ~2 Ma at the Plio-Pleistocene boundary and continues. Miki 1995 places the second phase at ~1 Ma. Southern OT may have local oceanic crust since ~2 Ma (debated). Used 2-0. Rifting counts as E (no MOR required).
Japan_Sea_opening,Japan,"bbox; Japan Trench (not Ryukyu, not Kuril); Japan Sea is the back-arc",140.0,147.0,35.0,42.0,E,28.0,14.0,ODP 127/128 major opening 28-18 Ma; rifting from ~32 Ma; termination ~15-12 Ma; used 28-14,Tamaki et al. 1992 ODP 127/128; Jolivet et al. 1994 JGR; Sato 1994 JGR,https://doi.org/10.1029/93JB03463; https://doi.org/10.1029/94JB00854,"Tamaki et al. 1992: Japan Sea extending 32-10 Ma, major opening with basin volcanism 28-18 Ma (Ar-Ar basement 24-17 Ma). Sato 1994: extension from 32 Ma, major rifting 25-20 Ma, opening terminated ~14 Ma. Jolivet et al. 1994: early-middle Miocene, stopped ~15-12 Ma. Used 28-14. SPARSITY: Müller2019 Japan Trench samples are almost absent before ~15 Ma, so this E interval is poorly sampled in the kinematics catalog. FP: Izu-Bonin split at 35N; Kurils east of 147E not included."
Japan_post_opening_neutral,Japan,bbox; Japan Trench; post-opening thermal sag / weak mixed stress,140.0,147.0,35.0,42.0,N,14.0,4.0,Sato 1994: after ~14 Ma termination a neutral stress regime until ~4 Ma,Sato 1994 JGR,https://doi.org/10.1029/94JB00854,"Sato 1994: after Japan Sea opening ended ~14 Ma, a neutral stress regime (weak extension and compression) prevailed until strong compression at ~4 Ma. Labelled N. Overlap at 14 Ma prefers E; at 4 Ma prefers C."
NE_Japan_inversion,Japan,bbox; Japan Trench; basin inversion / E-W compression of the NE Japan arc,140.0,147.0,35.0,42.0,C,4.0,0.0,Sato 1994: strong compression from ~4 Ma; inversion of Miocene normal faults,Sato 1994 JGR; Okamura et al. 1995,https://doi.org/10.1029/94JB00854,"Sato 1994: increase in westward Pacific motion ~4 Ma produced strong compression, reactivating Miocene normal faults (tectonic inversion). Some papers place localized inversion as young as ~1.8 Ma; 4 Ma is the regional stress-field change. This is arc/back-arc inversion, not Andean-style plateau building. SubMap Japan is mostly SS with some C."
Aegean_rifting,Hellenic,"bbox; Hellenic Trench / Aegean (exclude Calabria lon<18.5); continental back-arc rifting, not MOR",18.5,30.5,32.5,40.5,E,23.0,0.0,Ring et al. 2010 Aegean-wide extension from ~23 Ma; midpoint of 15 vs 35-45 Ma debate; used 23-0,Ring et al. 2010 AREPS; Jolivet & Brun 2010; Le Pichon & Angelier 1979; Brun & Sokoutis 2010,https://doi.org/10.1146/annurev.earth.012809.104804; https://doi.org/10.1007/s00531-008-0356-6,NOT a MOR. Conflict on onset: (1) Le Pichon & Angelier 1979 / Angelier ~13-15 Ma from basins; (2) Ring et al. 2010: Aegean-wide lithospheric extension from ~23-19 Ma (core complexes); (3) Jolivet & Brun 2010 / Brun & Sokoutis 2010: rollback-driven extension from ~45-35 Ma; (4) Lister/Gautier core complexes ~30 Ma; (5) some 2022 papers delay regional extension to ~15 Ma. Used 23-0 (Ring 2010) as a cited midpoint of the 15 vs 45 debate. Most extension after ~15 Ma (van Hinsbergen 2010; Brun 2016 acceleration). FP: Calabria excluded; Cyprus/Cyprean not included (lon_max=30.5).
Tyrrhenian_Calabria,Calabria,bbox; Calabrian Arc / Ionian subduction; Tyrrhenian back-arc,12.0,18.5,35.0,42.0,E,10.0,0.0,major rifting from ~10 Ma (Tortonian); Vavilov spreading ~4 Ma; Marsili ~2 Ma,Rosenbaum & Lister 2004 Tectonics; Kastens et al. 1988 GSA Bull; Malinverno & Ryan 1986,https://doi.org/10.1029/2003TC001518; https://doi.org/10.1130/0016-7606(1988)100<1140:OLITTS>2.3.CO;2,"Rosenbaum & Lister 2004: major Tyrrhenian rifting from ~10-9 Ma (Tortonian), two rollback episodes. Kastens et al. 1988 (ODP Leg 107): synrift Tortonian-Messinian on Sardinia margin; Vavilov basaltic crust before Marsili. Gueydan/Nature Comm 2022 compilation: Vavilov 4.3-2.6 Ma, Marsili ~2-1 Ma. Used 10-0 (rifting+spreading as E). Still opening (slow). FP: Hellenic excluded by lon_max=18.5; Apennine shortening is in the orogenic wedge, not this trench box."
Manus_Basin,Manus,bbox; New Britain Trench; Manus/Bismarck back-arc,147.0,155.0,-8.0,-3.5,E,3.5,0.0,Manus Spreading Centre <3.5 Ma (Taylor 1979); East Manus rifting <0.78 Ma,Taylor 1979; Martinez & Taylor 1996 Mar Geophys Res; Taylor & Martinez 2003,https://doi.org/10.1007/BF00286078,"Taylor 1979: spreading on MSC/ETZ started <3.5 Ma. Martinez & Taylor 1996: Brunhes-age plate reorganisation; MSC wedge opening during Brunhes; East Manus distributed rifting. Some papers quote Bismarck opening from Finisterre collision ~3.7-3.0 Ma and spreading only in the last 0.78 Myr. Used 3.5-0 for the New Britain upper plate. FP: Solomons (~159E, -10) and Trobriand/Woodlark excluded. Older times in this box stay Unknown (pre-Manus)."
North_Fiji_Basin,NewHebrides,bbox; Vanuatu/New Hebrides Trench; North Fiji Basin back-arc,164.0,171.0,-22.0,-11.0,E,12.0,0.0,rifting/opening from ~12 Ma after Vitiaz polarity reversal; still spreading,"Auzende et al. 1988, 1995; Pelletier et al. 1993; Martin 2013 Tectonophysics",https://doi.org/10.1007/978-1-4615-1843-3_4; https://doi.org/10.1016/j.tecto.2013.06.019,"Auzende et al. 1988/1995: NFB opening from ~12 Ma in three stages (NE-SW 12-7, N-S 7-3, E-W since ~3 Ma) accompanying clockwise rotation of Vanuatu after Vitiaz lockup. Martin 2013: Fiji CCW rotation 10.2-1.56 Ma, Vanuatu CW from 12/10 Ma. Used 12-0. FP: Tonga is east of 175E / west of -168; this box is the east-dipping Vanuatu trench, not Tonga. D'Entrecasteaux collision locally compresses the central Vanuatu arc — a known along-strike exception not split out here."
Central_Andes_shortening,Andes,"bbox; South America west coast, Altiplano-Puna latitudes (not Colombia, not Patagonia)",-82.0,-68.0,-32.0,-12.0,C,50.0,0.0,shortening onset 50-45 Ma (range 60-40); continuous Cenozoic shortening to present; used 50-0,Oncken et al. 2006 Andes book; Oncken et al. 2012 G3; Horton 2018 AREPS; Garzione et al. 2008 Science; Schellart 2024 ESR,https://doi.org/10.1007/978-3-540-48684-8_1; https://doi.org/10.1029/2012GC004280; https://doi.org/10.1146/annurev-earth-063016-020612; https://doi.org/10.1126/science.1148615; https://doi.org/10.1016/j.earscirev.2024.104755,"Oncken et al. 2006/2012: Central Andean shortening begins 45-50 Ma, rate increase ~32-27 Ma, deformation in the plateau until ~7 Ma then eastward into Subandes; still shortening. Horton 2018 / Barnes & Ehlers 2009: deformation and eastward migration from ~60-40 Ma. Incaic (late Eocene) and Quechua (Miocene) pulses are phases of one protracted Cenozoic shortening, not a switch to E. Garzione et al. 2008: paleoelevation rise is faster than shortening (delamination debate) — we classify UPS as C from shortening, not from uplift rate. Schellart 2024 ESR: Andes as the wide-slab shortening end-member vs Scotia extension. Used 50-0. Conflict: some authors put most growth after ~25 or ~15 Ma; onset still Paleogene. FP: Northern Andes (Colombia/Ecuador, lat> -12) and south-central Chile (lat< -32) excluded; Peru flat-slab is still shortening so C is appropriate if the box clips it."
Cascadia_no_backarc,Cascadia,bbox; Cascadia Trench; no back-arc basin,-132.0,-120.0,39.0,52.0,N,30.0,0.0,Juan de Fuca-Cascadia configuration in this catalog from ~30 Ma; no Cenozoic back-arc spreading,Wells et al. 1998 Geology; Wells & McCaffrey 2013; Johnson et al. 2004 Tectonics,https://doi.org/10.1130/0091-7613(1998)026<0759:FAMICA>2.3.CO;2; https://doi.org/10.1029/2003TC001507,"NO back-arc. Labelled N not C: Cascadia is not an Andean cordilleran retroarc. Wells et al. 1998: Oregon forearc rotates clockwise; northward motion shortens western Washington against the Canadian Coast Mountains (margin-parallel N-S shortening, not trench-normal Andean C). Southern Cascadia has an extensional volcanic arc on the trailing edge of the rotating block (Basin and Range), which is NOT a Cascadia back-arc BAB. SubMap Geodetic_UPS for Cascadia is SS — agrees with N, not with C. Do not treat Washington fold-and-thrust (Yakima, Puget) as E vs C at the trench. Müller2019 Cascadia trench samples exist from ~30 Ma."
